epoch acc_val acc_tra
1 0.24500000000000013 0.2692013888889192
2 0.30000000000000016 0.30656250000003615
3 0.3200000000000002 0.3479166666667093
4 0.24000000000000013 0.3650347222222675
5 0.28500000000000014 0.4338194444445005
6 0.2550000000000001 0.46302083333339394
7 0.28500000000000014 0.445486111111169
8 0.23500000000000013 0.5107986111111792
9 0.31000000000000016 0.5156250000000688
10 0.24000000000000013 0.5267708333334039
11 0.2650000000000001 0.548750000000074
12 0.30000000000000016 0.5970486111111927
13 0.2650000000000001 0.5877083333334134
14 0.28500000000000014 0.589618055555636
15 0.2650000000000001 0.6444791666667556
16 0.27500000000000013 0.662986111111203
17 0.27000000000000013 0.7161805555556557
18 0.28000000000000014 0.6862500000000955
19 0.24500000000000013 0.7252777777778794
20 0.27000000000000013 0.7261111111112128
21 0.29500000000000015 0.7686458333334417
22 0.27000000000000013 0.7939930555556679
23 0.28500000000000014 0.7552430555556618
24 0.29500000000000015 0.7448611111112158
25 0.28000000000000014 0.735590277777881
26 0.28000000000000014 0.8084027777778924
27 0.28000000000000014 0.8076736111112256
28 0.28000000000000014 0.8056250000001142
29 0.27000000000000013 0.812013888889004
30 0.28000000000000014 0.8301388888890069
31 0.2550000000000001 0.8331250000001185
32 0.27000000000000013 0.8643750000001234
33 0.28500000000000014 0.9106250000001306
34 0.3350000000000002 0.8756250000001251
35 0.2500000000000001 0.8963888888890172
36 0.30000000000000016 0.9130902777779087
37 0.30500000000000016 0.9187500000001319
38 0.29500000000000015 0.9129166666667976
