epoch acc_val acc_tra
1 0.29500000000000015 0.3528472222222446
2 0.30500000000000016 0.3728819444444688
3 0.27000000000000013 0.40972222222225013
4 0.28000000000000014 0.46916666666670187
5 0.27500000000000013 0.49690972222225926
6 0.29000000000000015 0.5234722222222633
7 0.2800000000000001 0.53215277777782
8 0.29500000000000015 0.5642013888889355
9 0.27000000000000013 0.508750000000039
10 0.28000000000000014 0.6010069444444955
11 0.29000000000000015 0.6222916666667211
12 0.27000000000000013 0.6132291666667193
13 0.31000000000000016 0.6510416666667249
14 0.30000000000000016 0.6494097222222797
15 0.29500000000000015 0.6725694444445054
16 0.28500000000000014 0.6379861111111671
17 0.2900000000000001 0.5702777777778246
18 0.29000000000000015 0.6327430555556112
19 0.29000000000000015 0.7043402777778438
20 0.31000000000000016 0.7262500000000697
21 0.28000000000000014 0.6624305555556156
22 0.30000000000000016 0.7354861111111818
23 0.3250000000000002 0.7011805555556212
24 0.31500000000000017 0.7397222222222936
25 0.31500000000000017 0.7331597222222924
26 0.29500000000000015 0.7188541666667346
27 0.31000000000000016 0.7073958333333995
28 0.28000000000000014 0.7828472222223004
29 0.3200000000000001 0.747395833333406
30 0.31500000000000017 0.8183680555556396
31 0.31500000000000017 0.7733680555556323
32 0.29500000000000015 0.7986805555556364
33 0.3200000000000002 0.7971875000000805
34 0.27500000000000013 0.7911805555556348
35 0.30500000000000016 0.8198263888889733
36 0.28500000000000014 0.801909722222304
37 0.29000000000000015 0.7889583333334125
38 0.27500000000000013 0.7581250000000742
39 0.29500000000000015 0.8196875000000844
40 0.29500000000000015 0.8514930555556455
41 0.30000000000000016 0.8251736111111964
42 0.30500000000000016 0.797673611111192
43 0.31500000000000017 0.8551388888889794
44 0.29000000000000015 0.8340972222223089
45 0.30000000000000016 0.8500347222223116
46 0.30500000000000016 0.8265277777778632
47 0.31000000000000016 0.8501388888889782
48 0.30000000000000016 0.8427083333334218
49 0.28500000000000014 0.8688194444445371
50 0.28500000000000014 0.8793055555556503
51 0.28000000000000014 0.8567013888889795
52 0.29000000000000015 0.8733333333334269
53 0.30500000000000016 0.8771180555556498
54 0.29000000000000015 0.9038888888889878
55 0.30000000000000016 0.8893055555556519
56 0.29000000000000015 0.9012500000000984
57 0.28500000000000014 0.906840277777877
58 0.2850000000000001 0.9035069444445432
59 0.29500000000000015 0.8579166666667573
60 0.29000000000000015 0.883541666666762
61 0.3250000000000002 0.9040972222223211
62 0.29500000000000015 0.8707638888889819
63 0.2750000000000001 0.9143750000001006
64 0.30000000000000016 0.9163888888889898
65 0.29500000000000015 0.9137847222223228
66 0.28500000000000014 0.9297222222223256
67 0.29500000000000015 0.9198611111112129
68 0.30500000000000016 0.908958333333433
69 0.31000000000000016 0.9185416666667683
70 0.30000000000000016 0.9124652777778781
71 0.28500000000000014 0.9344444444445488
72 0.30500000000000016 0.9322569444445482
73 0.2800000000000001 0.9304166666667703
74 0.31000000000000016 0.9078472222223217
75 0.2650000000000001 0.8959375000000975
76 0.28000000000000014 0.9245486111112137
77 0.2750000000000001 0.9270833333334364
78 0.29500000000000015 0.9321180555556596
79 0.2750000000000001 0.9227083333334356
80 0.28500000000000014 0.937395833333438
81 0.2800000000000001 0.9127083333334338
82 0.2750000000000001 0.9151041666667674
83 0.2750000000000001 0.9295138888889922
84 0.29000000000000015 0.9325000000001041
85 0.29500000000000015 0.9329166666667708
86 0.29500000000000015 0.9220833333334355
87 0.30500000000000016 0.9284722222223254
88 0.3100000000000001 0.9350347222223266
89 0.29500000000000015 0.9415277777778834
90 0.2900000000000001 0.9417013888889944
91 0.29500000000000015 0.9411111111112168
92 0.30000000000000016 0.9378819444445494
93 0.2700000000000001 0.9448958333334395
94 0.29000000000000015 0.9417013888889945
95 0.2750000000000001 0.9435069444445503
96 0.30000000000000016 0.9401736111112166
97 0.28000000000000014 0.937048611111216
98 0.28500000000000014 0.9304513888889925
99 0.2750000000000001 0.9471180555556622
100 0.29500000000000015 0.9247569444445471
